product_name;product_type;client_type;over;under;term_months;term_days;currency;interest
KONTO Z LWEM;savings;corporate;0;inf;NA;NA;PLN;FILL_IN
KONTO Z LWEM;savings;corporate;0;inf;NA;NA;USD;FILL_IN
KONTO Z LWEM;savings;corporate;0;inf;NA;NA;EUR;FILL_IN
KONTO Z LWEM;savings;corporate;0;inf;NA;NA;GBP;FILL_IN
Otwarte Konto Oszczędnościowe;savings;corporate;0;20000000;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe;savings;corporate;20000000;inf;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe;savings;corporate;0;inf;NA;NA;EUR;FILL_IN
Otwarte Konto Oszczędnościowe;savings;corporate;0;inf;NA;NA;USD;FILL_IN
Otwarte Konto Oszczędnościowe;savings;corporate;0;inf;NA;NA;GBP;FILL_IN
Lokata Terminowa;deposit;corporate;1000;inf;1;NA;PLN;FILL_IN
Lokata Terminowa;deposit;corporate;1000;inf;3;NA;PLN;FILL_IN
Lokata Terminowa;deposit;corporate;1000;inf;6;NA;PLN;FILL_IN
Lokata Terminowa;deposit;corporate;1000;inf;12;NA;PLN;FILL_IN
Lokata Terminowa Plus;deposit;corporate;1000;50000;6;NA;PLN;FILL_IN
Lokata Terminowa Plus;deposit;corporate;1000;100000;12;NA;PLN;FILL_IN
Lokata Terminowa;deposit;corporate;500;inf;6;NA;EUR;FILL_IN
Lokata Terminowa;deposit;corporate;500;inf;12;NA;EUR;FILL_IN
Lokata Terminowa;deposit;corporate;500;inf;6;NA;USD;FILL_IN
Lokata Terminowa;deposit;corporate;500;inf;12;NA;USD;FILL_IN
Lokata Terminowa Plus;deposit;corporate;50000;100000;6;NA;PLN;FILL_IN
Lokata Terminowa Plus;deposit;corporate;100000;inf;12;NA;PLN;FILL_IN
Lokata Terminowa Plus;deposit;corporate;500;25000;6;NA;EUR;FILL_IN
Lokata Terminowa Plus;deposit;corporate;25000;inf;12;NA;EUR;FILL_IN
Lokata Terminowa Plus;deposit;corporate;500;50000;6;NA;USD;FILL_IN
Lokata Terminowa Plus;deposit;corporate;50000;inf;12;NA;USD;FILL_IN